Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
13.25,0.07,0.53%,24 Jul 2018
13.18,0.00,0.00%,23 Jul 2018
13.18,0.08,0.61%,20 Jul 2018
13.1,-0.07,-0.53%,19 Jul 2018
13.17,0.01,0.08%,18 Jul 2018
13.16,0.03,0.23%,17 Jul 2018
13.13,-0.07,-0.53%,16 Jul 2018
13.2,0.08,0.61%,13 Jul 2018
13.12,0.04,0.31%,12 Jul 2018
13.08,-0.13,-0.98%,11 Jul 2018
13.21,0.00,0.00%,10 Jul 2018
13.21,0.14,1.07%,09 Jul 2018
13.07,0.16,1.24%,06 Jul 2018
12.91,-0.03,-0.23%,05 Jul 2018
12.94,-0.06,-0.46%,03 Jul 2018
13.0,-0.05,-0.38%,02 Jul 2018
13.05,0.07,0.54%,29 Jun 2018
12.98,-0.02,-0.15%,28 Jun 2018
13.0,-0.18,-1.37%,27 Jun 2018
13.18,0.01,0.08%,26 Jun 2018
13.17,-0.15,-1.13%,25 Jun 2018
13.32,0.07,0.53%,22 Jun 2018
13.25,-0.15,-1.12%,21 Jun 2018
13.4,0.07,0.53%,20 Jun 2018
13.33,-0.15,-1.11%,19 Jun 2018
13.48,-0.09,-0.66%,18 Jun 2018
13.57,-0.09,-0.66%,15 Jun 2018
13.66,-0.05,-0.36%,14 Jun 2018
13.71,-0.10,-0.72%,13 Jun 2018
13.81,-0.02,-0.14%,12 Jun 2018
13.83,-0.01,-0.07%,11 Jun 2018
13.84,-0.06,-0.43%,08 Jun 2018
13.9,-0.05,-0.36%,07 Jun 2018
13.95,0.07,0.50%,06 Jun 2018
13.88,-0.04,-0.29%,05 Jun 2018
13.92,0.11,0.80%,04 Jun 2018
13.81,0.09,0.66%,01 Jun 2018
13.72,-0.05,-0.36%,31 May 2018
13.77,-0.06,-0.43%,30 May 2018
13.83,-0.11,-0.79%,29 May 2018
13.94,0.01,0.07%,25 May 2018
13.93,-0.06,-0.43%,24 May 2018
13.99,0.00,0.00%,23 May 2018
13.99,0.02,0.14%,22 May 2018
13.97,-0.06,-0.43%,18 May 2018
14.03,-0.12,-0.85%,17 May 2018
14.15,0.12,0.86%,16 May 2018
14.03,-0.17,-1.20%,15 May 2018
14.2,0.03,0.21%,14 May 2018
14.17,0.16,1.14%,11 May 2018
14.01,0.05,0.36%,09 May 2018
13.96,0.00,0.00%,08 May 2018
13.96,-0.04,-0.29%,07 May 2018
14.0,0.03,0.21%,04 May 2018
13.97,-0.06,-0.43%,03 May 2018
14.03,-0.09,-0.64%,02 May 2018
14.12,-0.05,-0.35%,30 Apr 2018
14.17,0.02,0.14%,27 Apr 2018
14.15,0.08,0.57%,26 Apr 2018
14.07,-0.02,-0.14%,25 Apr 2018
14.09,-0.06,-0.42%,24 Apr 2018
14.15,-0.05,-0.35%,23 Apr 2018
14.2,-0.15,-1.05%,20 Apr 2018
14.35,0.00,0.00%,19 Apr 2018
14.35,0.10,0.70%,18 Apr 2018
14.25,0.00,0.00%,17 Apr 2018
14.25,-0.05,-0.35%,16 Apr 2018
14.3,-0.15,-1.04%,13 Apr 2018
14.45,0.09,0.63%,12 Apr 2018
14.36,-0.03,-0.21%,11 Apr 2018
14.39,0.19,1.34%,10 Apr 2018
14.2,-0.03,-0.21%,09 Apr 2018
14.23,-0.21,-1.45%,06 Apr 2018
14.44,0.08,0.56%,05 Apr 2018
14.36,-0.11,-0.76%,04 Apr 2018
14.47,-0.06,-0.41%,03 Apr 2018
14.53,0.09,0.62%,29 Mar 2018
14.44,-0.01,-0.07%,28 Mar 2018
